action_pair,difference_band,power_context,outcome_code,phase_winner,counter_dmg_A,counter_dmg_B,effect_A,effect_B,base_weight,narrative_pool_tag,is_fatal
DEF_INT,BAJA,BALANCED,DEF_INT_BAJA_BAL_INT_PARCIAL,B,0.0,0.0,NULL,POS_FAVORABLE,0.45,DEF_INT_INT_PARCIAL,0
DEF_INT,BAJA,BALANCED,DEF_INT_BAJA_BAL_DEF_RECUPERA_CENTRO,A,0.0,0.0,POS_FAVORABLE,NULL,0.3,DEF_INT_DEF_RECUPERA_CENTRO,0
DEF_INT,BAJA,BALANCED,DEF_INT_BAJA_BAL_CRUCE_SIN_RESOLVER,NONE,0.0,0.0,NULL,NULL,0.25,DEF_INT_CRUCE_SIN_RESOLVER,0
INT_DEF,MODERADA,BALANCED,INT_DEF_MOD_BAL_DEFLECTA_MANIOBRA,B,0.0,0.0,POS_DESFAVORABLE,CONTRA_EXITOSO,0.45,INT_DEF_DEFLECTA_MANIOBRA,0
INT_DEF,MODERADA,BALANCED,INT_DEF_MOD_BAL_INT_ENCUENTRA_HUECO,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.35,INT_DEF_INT_ENCUENTRA_HUECO,0
INT_DEF,MODERADA,BALANCED,INT_DEF_MOD_BAL_TRANSICION_CON_TENSION,NONE,0.0,0.0,NULL,NULL,0.2,INT_DEF_TRANSICION_CON_TENSION,0
INT_DEF,ALTA,BOTH_HIGH,INT_DEF_ALTA_BH_DEFENSOR_LEE_TODO,B,0.0,0.0,POS_DESFAVORABLE,CONTRA_EXITOSO,0.4,INT_DEF_DEFENSOR_LEE_TODO,0
INT_DEF,ALTA,BOTH_HIGH,INT_DEF_ALTA_BH_INT_BRILLANTE,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.35,INT_DEF_INT_BRILLANTE,0
INT_DEF,ALTA,BOTH_HIGH,INT_DEF_ALTA_BH_INT_ROMPE_ESPACIO,A,0.5,0.0,VIDRIO_ROTO,NULL,0.25,INT_DEF_INT_ROMPE_ESPACIO,0
INT_DEF,BAJA,BALANCED,INT_DEF_BAJA_BAL_INT_PARCIAL,A,0.0,0.0,POS_FAVORABLE,NULL,0.45,INT_DEF_INT_PARCIAL,0
INT_DEF,BAJA,BALANCED,INT_DEF_BAJA_BAL_DEF_RECUPERA_CENTRO,B,0.0,0.0,NULL,POS_FAVORABLE,0.3,INT_DEF_DEF_RECUPERA_CENTRO,0
INT_DEF,BAJA,BALANCED,INT_DEF_BAJA_BAL_CRUCE_SIN_RESOLVER,NONE,0.0,0.0,NULL,NULL,0.25,INT_DEF_CRUCE_SIN_RESOLVER,0
